test,suite,a100,h100,gh200,gb10
isa2_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_REL,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_1_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_REL,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_2_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_NO_FENCE_ACQUIRE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_ACQ,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_REL,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_1_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_REL,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_2_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_ACQ,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_REL,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_1_FENCE,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_REL,core,not seen,not seen,not seen,not seen
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_2_FENCE,core,not seen,not seen,not seen,not seen
paper_example1_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_DISALLOWED,core,not seen,not seen,not seen,not seen
paper_example2_TB_0_1_2_3_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,not seen
paper_example2_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_DISALLOWED,core,not seen,not seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,seen,seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,seen,seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_LOAD_SC,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,seen,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,seen,seen,not seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_LOAD_SC,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,seen,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,seen,seen,seen,seen
rwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_1_02_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_DEVICE_NO_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_DEVICE_NO_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,not seen
rwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,not seen
rwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,seen,seen,not seen,not seen
rwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,seen,not seen,not seen,not seen
rwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_1_02_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_BLOCK_NO_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_BLOCK_NO_FENCE_LOAD_SC,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,seen,seen,seen,seen
rwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,seen,seen,seen,not seen
rwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,seen,seen,not seen,not seen
rwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,seen,seen,not seen,seen
rwc_TB_012_SCOPE_DEVICE_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_NO_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_NO_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_NO_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_NO_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,core,not seen,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
wrc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_ACQUIRE,core,not seen,not seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,seen,seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,core,seen,seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,core,seen,seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,core,not seen,not seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
wrc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_ACQUIRE,core,seen,seen,seen,seen
wrc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELEASE,core,seen,seen,seen,seen
wrc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
wrc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,seen,seen,seen,seen
wrc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,core,seen,seen,seen,seen
wrc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,core,seen,seen,seen,seen
wrc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,seen,not seen,not seen,seen
wrc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,core,seen,seen,not seen,not seen
wrc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,core,seen,seen,seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
wrc_TB_01_2_SCOPE_DEVICE_NO_FENCE_ACQUIRE,core,not seen,not seen,not seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,not seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,seen,seen,not seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,core,seen,seen,not seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,core,seen,seen,not seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
wrc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,core,not seen,not seen,not seen,not seen
wrc_TB_01_2_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
wrc_TB_01_2_SCOPE_BLOCK_NO_FENCE_ACQUIRE,core,seen,seen,seen,seen
wrc_TB_01_2_SCOPE_BLOCK_NO_FENCE_RELEASE,core,seen,seen,seen,seen
wrc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
wrc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,seen,seen,seen,seen
wrc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,core,seen,seen,seen,seen
wrc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,core,seen,seen,seen,seen
wrc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,seen,seen,not seen,seen
wrc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,core,seen,seen,seen,not seen
wrc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,core,seen,seen,seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_NO_FENCE_ACQUIRE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_BLOCK_NO_FENCE_ACQUIRE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
wrc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
